iter	Passed	Remaining
0	89	88991
1	497	248315
2	847	281752
3	1265	315063
4	1721	342495
5	2066	342410
6	2394	339615
7	2721	337415
8	3033	334043
9	3364	333123
10	3676	330560
11	3998	329198
12	4359	330948
13	4730	333138
14	5065	332612
15	5409	332685
16	5744	332188
17	6085	331984
18	6412	331090
19	6778	332162
20	7119	331897
21	7451	331246
22	7821	332255
23	8161	331886
24	8523	332424
25	8866	332151
26	9233	332751
27	9580	332583
28	9951	333207
29	10305	333200
30	10721	335134
31	11067	334791
32	11395	333927
33	11742	333637
34	12089	333327
35	12420	332597
36	12746	331747
37	13068	330828
38	13393	330019
39	13718	329245
40	14049	328617
41	14368	327734
42	14690	326944
43	15023	326418
44	15350	325775
45	15675	325095
46	16000	324440
47	16344	324163
48	16723	324563
49	17107	325049
50	17496	325573
51	17880	325968
52	18248	326066
53	18652	326760
54	19016	326731
55	19368	326496
56	19661	325277
57	19883	322938
58	20084	320332
59	20422	319945
60	20756	319518
61	21093	319123
62	21450	319040
63	21798	318803
64	22171	318930
65	22547	319084
66	22887	318717
67	23292	319240
68	23705	319853
69	24087	320016
70	24456	320001
71	24814	319829
72	25161	319521
73	25531	319490
74	25910	319558
75	26266	319343
76	26643	319375
77	27035	319576
78	27467	320221
79	27830	320050
80	28207	320031
81	28625	320460
82	29024	320666
83	29423	320855
84	29779	320566
85	30127	320189
86	30461	319668
87	30811	319323
88	31157	318931
89	31495	318453
90	31874	318394
91	32240	318195
92	32619	318126
93	32971	317789
94	33364	317841
95	33705	317394
96	34041	316901
97	34384	316477
98	34734	316116
99	35071	315641
100	35396	315061
101	35715	314440
102	36048	313934
103	36374	313376
104	36709	312901
105	37069	312644
106	37416	312273
107	37741	311720
108	38055	311075
109	38369	310444
110	38742	310286
111	39090	309929
112	39441	309595
113	39771	309103
114	40109	308664
115	40461	308348
116	40808	307981
117	41138	307495
118	41448	306857
119	41776	306361
120	42105	305873
121	42457	305553
122	42776	304997
123	43087	304389
124	43416	303914
125	43725	303300
126	44056	302843
127	44392	302420
128	44707	301860
129	45015	301260
130	45320	300637
131	45649	300182
132	45975	299703
133	46340	299485
134	46691	299170
135	47018	298704
136	47356	298310
137	47688	297879
138	48026	297486
139	48340	296946
140	48696	296665
141	49014	296157
142	49345	295729
143	49680	295321
144	50017	294930
145	50365	294605
146	50684	294109
147	51017	293696
148	51349	293278
149	51701	292976
150	52029	292537
151	52377	292210
152	52753	292038
153	53065	291518
154	53384	291030
155	53719	290634
156	54052	290228
157	54385	289827
158	54705	289355
159	55031	288916
160	55369	288539
161	55718	288225
162	56053	287831
163	56389	287447
164	56731	287094
165	57057	286660
166	57394	286284
167	57712	285813
168	58055	285465
169	58381	285038
170	58700	284575
171	59021	284125
172	59343	283682
173	59662	283226
174	59979	282758
175	60295	282292
176	60622	281877
177	60953	281481
178	61272	281033
179	61601	280628
180	61942	280281
181	62273	279886
182	62607	279511
183	62938	279117
184	63303	278877
185	63636	278496
186	63979	278155
187	64344	277911
188	64704	277645
189	65046	277302
190	65389	276964
191	65717	276559
192	66039	276134
193	66363	275717
194	66686	275295
195	66998	274828
196	67317	274396
197	67676	274122
198	68001	273716
199	68336	273344
200	68667	272962
201	68988	272537
202	69333	272211
203	69689	271925
204	70028	271572
205	70377	271259
206	70727	270950
207	71075	270631
208	71409	270261
209	71772	270002
210	72117	269673
211	72513	269531
212	73023	269809
213	73457	269801
214	73813	269504
215	74199	269316
216	74525	268908
217	74868	268565
218	75216	268238
219	75587	267990
220	75924	267625
221	76281	267327
222	76642	267046
223	76984	266697
224	77348	266422
225	77796	266437
226	78160	266158
227	78515	265852
228	78900	265643
229	79262	265355
230	79634	265103
231	79985	264778
232	80343	264478
233	80663	264053
234	80996	263669
235	81351	263357
236	81708	263051
237	82034	262648
238	82370	262275
239	82705	261901
240	83034	261508
241	83352	261080
242	83677	260675
243	84002	260269
244	84324	259857
245	84651	259458
246	84982	259074
247	85327	258735
248	85645	258311
249	85978	257934
250	86320	257586
251	86651	257204
252	86983	256823
253	87295	256388
254	87620	255990
255	87944	255588
256	88246	255124
257	88559	254694
258	88888	254309
259	89216	253924
260	89544	253539
261	89907	253250
262	90212	252802
263	90519	252358
264	90844	251964
265	91168	251571
266	91476	251130
267	91807	250756
268	92139	250386
269	92459	249983
270	92791	249613
271	93133	249267
272	93479	248937
273	93794	248521
274	94161	248243
275	94529	247967
276	94856	247584
277	95210	247273
278	95542	246903
279	95879	246548
280	96219	246197
281	96563	245859
282	96894	245488
283	97243	245162
284	97596	244847
285	97935	244496
286	98257	244102
